frame_index,host_ts_ns,color_device_ts_ms,depth_device_ts_ms,fingertip_detected,fingertip_depth_valid,fingertip_depth_m,neighborhood_min_depth_m,neighborhood_max_depth_m,depth_reference_count,crop_x0,crop_y0
98,4642243890895,1789991191679.212,1789991191687.8027,1,1,0.26069999341416406,0.26249999336869223,0.27129999314638553,6,703,444
99,4642470279137,1789991191912.3223,1789991191920.7576,1,1,0.25979999343689997,0.2618999933838495,0.2700999931767001,6,674,443
100,4642602473103,1789991192078.8318,1789991192087.0103,1,1,0.2596999934394262,0.2618999933838495,0.26959999318933114,6,667,442
101,4642682703337,1789991192111.5479,1789991192119.7036,1,1,0.2594999934444786,0.26149999339395436,0.26959999318933114,6,661,440
102,4643158990016,1789991192569.1257,1789991192511.6892,1,1,0.2594999934444786,0.26089999340911163,0.26959999318933114,6,627,438
103,4643214844179,1789991192601.7778,1789991192609.5908,1,1,0.2594999934444786,0.26069999341416406,0.269199993199436,6,612,439
104,4643302369844,1789991192797.6008,1789991192805.2769,1,1,0.26229999337374466,0.26139999339648057,0.2698999931817525,6,608,441
105,4643404994214,1789991192830.2231,1789991192837.8765,1,1,0.2617999933863757,0.26009999342932133,0.26949999319185736,6,591,446
106,4643644642277,1789991192830.2231,1789991192870.471,1,1,0.26149999339395436,0.2601999934267951,0.26959999318933114,6,590,445
107,4643929473806,1789991193321.6025,1789991193328.9678,1,1,0.25979999343689997,0.2586999934646883,0.2675999932398554,5,539,463
108,4644054153273,1789991193321.6025,1789991193591.0906,1,1,0.2602999934242689,0.2585999934672145,0.2673999932449078,6,533,465
109,4644138628419,1789991193583.9038,1789991193591.0906,1,1,0.25999999343184754,0.2586999934646883,0.2673999932449078,5,530,467
110,4645765403812,1789991195157.3586,1789991195163.5588,1,1,0.25999999343184754,0.2594999934444786,0.2657999932853272,5,548,499
111,4646037419738,1789991195157.3586,1789991195430.9812,1,1,0.2634999933434301,0.2586999934646883,0.26459999331564177,6,556,505
112,4646088625498,1789991195391.3875,1789991195464.4614,1,1,0.26399999333079904,0.2586999934646883,0.26459999331564177,6,557,504
113,4646167499265,1789991195592.4126,1789991195665.369,1,1,0.26299999335606117,0.2602999934242689,0.26629999327269616,6,606,486
114,4646300208146,1789991195726.455,1789991195732.3481,1,1,0.26169999338890193,0.261199993401533,0.2676999932373292,5,634,481
115,4646375879392,1789991195759.969,1789991195765.84,1,1,0.26169999338890193,0.2617999933863757,0.26799999322975054,6,653,477
116,4646545253407,1789991195961.0796,1789991195966.8174,1,1,0.26319999335100874,0.26249999336869223,0.269199993199436,5,657,480
117,4646647614648,1789991195994.6025,1789991196000.3184,1,1,0.26399999333079904,0.26229999337374466,0.26949999319185736,6,683,489
118,4646783721860,1789991196228.9702,1789991196234.4656,1,1,0.26469999331311556,0.2588999934596359,0.26959999318933114,7,683,483
