sample_index,host_ts_ns,fz_N
586,3707386628400,-2.502263044736832
587,3707387632378,-2.496549044736831
588,3707388928265,-2.4970730447368314
589,3707389651723,-2.497610044736831
590,3707390648616,-2.4918190447368307
591,3707391690408,-2.492451044736832
592,3707392636121,-2.493035044736832
593,3707393882760,-2.4936670447368314
594,3707394723333,-2.4879850447368312
595,3707395710165,-2.482177044736831
596,3707396671031,-2.4890850447368322
597,3707397685787,-2.4896400447368308
598,3707398755761,-2.490234044736832
599,3707399678453,-2.490849044736832
600,3707400703361,-2.4976330447368316
601,3707401660864,-2.498149044736831
602,3707402731241,-2.5050360447368316
603,3707403719936,-2.505427044736832
604,3707404701923,-2.505922044736831
605,3707405724263,-2.506291044736832
606,3707406756618,-2.5192690447368307
607,3707407785207,-2.5259790447368307
608,3707408700870,-2.538995044736831
609,3707409685801,-2.539390044736832
610,3707410710134,-2.5522210447368323
611,3707411676520,-2.5587150447368323
612,3707412702372,-2.5715240447368313
613,3707413727125,-2.571750044736831
614,3707414714781,-2.584537044736832
615,3707415736947,-2.5908240447368307
616,3707416710197,-2.603464044736832
617,3707417713219,-2.6098360447368307
618,3707418698020,-2.6224150447368313
619,3707419723251,-2.6349080447368323
620,3707420779064,-2.647397044736831
621,3707421715990,-2.6598300447368306
622,3707422700629,-2.6785550447368323
623,3707423708927,-2.6908960447368315
624,3707424707492,-2.696931044736832
625,3707425753384,-2.715587044736832
626,3707426742395,-2.7279270447368322
627,3707427889471,-2.746376044736831
628,3707428734035,-2.764902044736832
629,3707429722168,-2.777057044736832
630,3707430715621,-2.7892670447368317
631,3707431749503,-2.8012920447368312
632,3707432746689,-2.8197700447368312
633,3707433745619,-2.831919044736832
634,3707434730166,-2.8438360447368307
635,3707435733443,-2.8496230447368323
636,3707436822680,-2.861617044736832
637,3707437735409,-2.8735940447368318
638,3707438741376,-2.879294044736831
639,3707439740687,-2.8849730447368316
640,3707440737067,-2.896928044736832
641,3707441767610,-2.902705044736832
642,3707442739534,-2.914612044736831
643,3707443734768,-2.9202640447368307
644,3707444761209,-2.926003044736831
645,3707445776255,-2.9317410447368317
646,3707446784101,-2.931127044736831
647,3707447827677,-2.936839044736832
648,3707480836088,-2.942552044736832
649,3707480941640,-2.9355960447368314
650,3707480961098,-2.9351400447368317
651,3707480973891,-2.9409390447368313
652,3707480984001,-2.9341040447368307
653,3707480990927,-2.927295044736832
654,3707480998265,-2.9205240447368315
655,3707481005092,-2.9138350447368317
656,3707481011714,-2.907146044736832
657,3707481019119,-2.900397044736831
658,3707481026638,-2.893731044736832
659,3707481033847,-2.8807660447368306
660,3707481041410,-2.8741210447368317
661,3707481048921,-2.8676010447368316
662,3707481056160,-2.854728044736831
663,3707481063001,-2.841932044736831
664,3707481069745,-2.829140044736832
665,3707481078104,-2.816350044736831
666,3707481085183,-2.809938044736832
667,3707481092298,-2.797294044736832
668,3707481099789,-2.7783560447368316
669,3707481107961,-2.7720270447368307
670,3707481116983,-2.7531590447368313
671,3707481124085,-2.7406620447368315
672,3707481131954,-2.7217470447368317
673,3707481139276,-2.7093790447368313
674,3707481146380,-2.6969260447368306
675,3707481152871,-2.6718250447368312
676,3707481159943,-2.659420044736832
677,3707481167083,-2.653389044736832
678,3707481174585,-2.634799044736832
679,3707481182699,-2.616161044736831
680,3707481189276,-2.6102600447368314
681,3707482360770,-2.5979850447368307
682,3707483009800,-2.5857700447368313
683,3707483960526,-2.5735770447368314
684,3707484985502,-2.5677250447368323
685,3707485908719,-2.549277044736831
686,3707486926410,-2.5434470447368316
687,3707487908475,-2.531409044736831
688,3707488863035,-2.525516044736831
689,3707489831361,-2.5197460447368307
690,3707490887421,-2.5077090447368313
691,3707491867975,-2.4893790447368307
692,3707492840809,-2.483670044736831
693,3707493842053,-2.4779480447368307
694,3707494920109,-2.465933044736831
695,3707495857899,-2.453957044736832
696,3707496865302,-2.4483430447368306
697,3707497884602,-2.4489970447368314
698,3707498865463,-2.4432590447368323
699,3707499904985,-2.4375970447368314
700,3707500889043,-2.4382770447368323
701,3707501870169,-2.426176044736831
702,3707502866388,-2.4205630447368307
703,3707503886307,-2.421195044736832
704,3707504914673,-2.421810044736832
705,3707505900677,-2.416175044736832
706,3707506885166,-2.410367044736832
707,3707507853224,-2.4173400447368323
708,3707508858169,-2.4178250447368317
709,3707509858820,-2.4184830447368313
710,3707510923307,-2.412654044736831
711,3707511992049,-2.4132420447368315
712,3707512927354,-2.407412044736832
713,3707513914450,-2.4078920447368315
714,3707514929948,-2.408333044736832
715,3707515940636,-2.4088390447368315
716,3707516943493,-2.409172044736831
717,3707517942083,-2.4031910447368308
718,3707518943194,-2.4098180447368307
719,3707519922556,-2.410253044736832
720,3707520951171,-2.4105430447368317
721,3707521925413,-2.404431044736832
722,3707522939711,-2.417281044736832
723,3707523948346,-2.417586044736831
724,3707524948211,-2.417746044736832
725,3707525943309,-2.417905044736832
726,3707526919195,-2.4180640447368322
727,3707527969978,-2.4244690447368313
728,3707528973799,-2.430921044736831
729,3707529971727,-2.430950044736832
730,3707530972128,-2.4309700447368314
731,3707531979836,-2.4372920447368323
732,3707532969211,-2.437252044736832
733,3707534005128,-2.4435260447368314
734,3707535020231,-2.437170044736831
735,3707536016907,-2.437004044736831
736,3707536994693,-2.436882044736832
737,3707538060188,-2.4368400447368312
738,3707538991793,-2.4366690447368313
739,3707539974367,-2.4366070447368315
740,3707540982854,-2.436311044736831
741,3707541980767,-2.4424340447368316
742,3707543005365,-2.436007044736831
743,3707543991684,-2.4358360447368312
744,3707545034391,-2.441833044736832
745,3707546009731,-2.441662044736832
746,3707547000060,-2.441422044736832
747,3707548016603,-2.434811044736831
748,3707548993357,-2.434639044736832
749,3707550012775,-2.440714044736831
750,3707551011392,-2.4341030447368315
751,3707551994182,-2.427569044736831
752,3707552999220,-2.433643044736831
753,3707554002126,-2.4270320447368317
754,3707555072818,-2.4204980447368314
755,3707556036243,-2.4140320447368318
756,3707557009653,-2.4074990447368307
757,3707558037386,-2.407203044736832
758,3707559030187,-2.4070920447368316
759,3707560048966,-2.4005020447368306
760,3707561021560,-2.394051044736832
761,3707562040998,-2.387586044736832
762,3707563041594,-2.3874200447368317
763,3707564107754,-2.381016044736832
764,3707570985641,-2.3808240447368316
765,3707571067247,-2.380783044736832
766,3707571099395,-2.380592044736831
767,3707571125689,-2.3743170447368307
768,3707571131488,-2.3678800447368307
769,3707571401202,-2.3677960447368314
770,3707571421774,-2.3615440447368314
771,3707572361696,-2.361547044736831
772,3707573099611,-2.3489250447368306
773,3707574101039,-2.3489880447368314
774,3707575239829,-2.342681044736832
775,3707576419895,-2.3365590447368323
776,3707577122304,-2.3303980447368318
777,3707578187674,-2.324152044736831
778,3707579222827,-2.3243540447368307
779,3707580145988,-2.318130044736831
780,3707581138574,-2.312099044736831
781,3707582067992,-2.299753044736832
782,3707583144387,-2.2999520447368322
783,3707584141866,-2.287629044736832
784,3707585145926,-2.2878500447368317
785,3707586074241,-2.2882040447368315
786,3707590929225,-2.288549044736831
787,3707590963498,-2.2825240447368316
788,3707590967773,-2.2703300447368306
789,3707590971801,-2.2706210447368314
790,3707591562605,-2.264742044736831
791,3707592112610,-2.258864044736832
792,3707593102588,-2.2467190447368317
